Symbol,Sector,Sub-Industry,Headquarter,Founded
MMM,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1902
AOS,Industrials,Building Products,"Milwaukee, Wisconsin",1916
ABT,Health Care,Health Care Equipment,"North Chicago, Illinois",1888
ABBV,Health Care,Pharmaceuticals,"North Chicago, Illinois",2013
ACN,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989
ATVI,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2008
ADM,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1902
ADBE,Information Technology,Application Software,"San Jose, California",1982
ADP,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1949
AAP,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1932
AES,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981
AFL,Financials,Life & Health Insurance,"Columbus, Georgia",1955
A,Health Care,Health Care Equipment,"Santa Clara, California",1999
APD,Materials,Industrial Gases,"Allentown, Pennsylvania",1940
AKAM,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
ALK,Industrials,Passenger Airlines,"SeaTac, Washington",1985
ALB,Materials,Specialty Chemicals,"Charlotte, North Carolina",1994
ARE,Real Estate,Office REITs,"Pasadena, California",1994
ALGN,Health Care,Health Care Supplies,"Tempe, Arizona",1997
ALLE,Industrials,Building Products,"New York City, New York",1908
LNT,Utilities,Electric Utilities,"Madison, Wisconsin",1917
ALL,Financials,Property & Casualty Insurance,"Glenview, Illinois",1931
GOOGL,Communication Services,Interactive Media & Services,"Mountain View, California",1998
GOOG,Communication Services,Interactive Media & Services,"Mountain View, California",1998
MO,Consumer Staples,Tobacco,"Richmond, Virginia",1985
AMZN,Consumer Discretionary,Broadline Retail,"Seattle, Washington",1994
AMCR,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019
AMD,Information Technology,Semiconductors,"Santa Clara, California",1969
AEE,Utilities,Multi-Utilities,"St. Louis, Missouri",1902
AAL,Industrials,Passenger Airlines,"Fort Worth, Texas",1934
AEP,Utilities,Electric Utilities,"Columbus, Ohio",1906
AXP,Financials,Consumer Finance,"New York City, New York",1850
AIG,Financials,Property & Casualty Insurance,"New York City, New York",1919
AMT,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",1995
AWK,Utilities,Water Utilities,"Camden, New Jersey",1886
AMP,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",1894
ABC,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",1985
AME,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1930
AMGN,Health Care,Biotechnology,"Thousand Oaks, California",1980
APH,Information Technology,Electronic Components,"Wallingford, Connecticut",1932
ADI,Information Technology,Semiconductors,"Wilmington, Massachusetts",1965
ANSS,Information Technology,Application Software,"Canonsburg, Pennsylvania",1969
AON,Financials,Insurance Brokers,"London, UK",1982
APA,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977
AMAT,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1967
APTV,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",1994
ACGL,Financials,Reinsurance,"Hamilton, Bermuda",1995
ANET,Information Technology,Communications Equipment,"Santa Clara, California",2004
AJG,Financials,Insurance Brokers,"Rolling Meadows, Illinois",1927
AIZ,Financials,Multi-line Insurance,"New York City, New York",1892
T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983
ATO,Utilities,Gas Utilities,"Dallas, Texas",1906
ADSK,Information Technology,Application Software,"San Francisco, California",1982
AZO,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1979
AVB,Real Estate,Residential REITs,"Arlington, Virginia",1978
AVY,Materials,Paper & Plastic Packaging Products & Materials,"Glendale, California",1990
AXON,Industrials,Aerospace & Defense,"Scottsdale, Arizona",1993
BKR,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017
BALL,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1880
BAC,Financials,Diversified Banks,"Charlotte, North Carolina",1998
BBWI,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",1963
BAX,Health Care,Health Care Equipment,"Deerfield, Illinois",1931
BDX,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1897
WRB,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",1967
BRK.B,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1839
BBY,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1966
BIO,Health Care,Life Sciences Tools & Services,"Hercules, California",1952
TECH,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",1976
BIIB,Health Care,Biotechnology,"Cambridge, Massachusetts",1978
BLK,Financials,Asset Management & Custody Banks,"New York City, New York",1988
BK,Financials,Asset Management & Custody Banks,"New York City, New York",1784
BA,Industrials,Aerospace & Defense,"Chicago, Illinois",1916
BKNG,Consumer Discretionary,"Hotels, Restaurants & Leisure","Norwalk, Connecticut",1996
BWA,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",1880
BXP,Real Estate,Office REITs,"Boston, Massachusetts",1970
BSX,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1979
BMY,Health Care,Pharmaceuticals,"New York City, New York",1989
AVGO,Information Technology,Semiconductors,"San Jose, California",1961
BR,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",1962
BRO,Financials,Insurance Brokers,"Daytona Beach, Florida",1939
BF.B,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1870
BG,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",1818
CHRW,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1905
CDNS,Information Technology,Application Software,"San Jose, California",1988
CZR,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",1973
CPT,Real Estate,Residential REITs,"Houston, Texas",1981
CPB,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1869
COF,Financials,Consumer Finance,"Tysons Corner, Virginia",1994
